Requirement ,Description ,Guidance,Testing
PCI 08.2.3,"PCI 08.2.3: Passwords/phrases must meet the following: . Require a minimum length of at least seven characters. . Contain both numeric and alphabetic characters. Alternatively, the passwords/phrases must have complexity and strength at least equivalent to","Strong passwords/phrases are the first line of defense into a network since a malicious individual will often first try to find accounts with weak or non-existent passwords. If passwords are short or simple 
to guess, it is relatively easy for a malicious 
individual to find these weak accounts and 
compromise a network under the guise of a valid user ID. 

This requirement specifies that a minimum of seven characters and both numeric and alphabetic characters should be used for passwords/phrases. For cases where this minimum cannot be met due to 
technical limitations, entities can use “equivalent strength” to evaluate their alternative. NIST SP 800-63-1 defines “entropy” as “a measure of the difficulty 
of guessing or determining a password or key.” This document and others that discuss “password entropy” can be referred to for more information on applicable entropy value and for understanding equivalent password strength variability for 
passwords/phrases of different formats. ","8.2.3a For a sample of system components, inspect system configuration settings to verify that user password parameters are set to require at least the following strength/complexity: 

. Require a minimum length of at least seven characters. 
. Contain both numeric and alphabetic characters. 

8.2.3.b Additional testing procedure for service providers: Review internal processes and customer/user documentation to verify that non-consumer user passwords are required to meet at least the following strength/complexity: 

. Require a minimum length of at least seven characters. 
. Contain both numeric and alphabetic characters. "
PCI 08.2.4,PCI 08.2.4: Change user passwords/passphrases at least every 90: days.,Passwords/phrases that are valid for a long time without a change provide malicious individuals with more time to work on breaking the password/phrase.,"8.2.4.a For a sample of system components, inspect system configuration settings to verify that user password parameters are set to require users to change passwords at least every 90 days. 

8.2.4.b Additional testing procedure for service providers: Review internal processes and customer/user documentation 
to verify that: 

. Non-consumer user passwords are required to change periodically; and 
. Non-consumer users are given guidance as to when, and under what circumstances, passwords must change. "
PCI 08.2.5,PCI 08.2.5: Do not allow an individual to submit a new password/phrase that is the same as any of the last four passwords/phrases he or she has used.,"If password history isn’t maintained, the effectiveness of changing passwords is reduced, as previous passwords can be reused over and over. Requiring that passwords cannot be reused for a period of time reduces the likelihood that passwords that have been guessed or brute-forced will be used in the future. ","8.2.5.a For a sample of system components, obtain and inspect system configuration settings to verify that password parameters are set to require that new passwords cannot be the same as the four previously used passwords. 

If password history isn’t maintained, the 
effectiveness of changing passwords is reduced, as previous passwords can be reused over and over. Requiring that passwords cannot be reused for a period of time reduces the likelihood that passwords that have been guessed or brute-forced will be used in the future. "
PCI 08.2.6,"PCI 08.2.6: Set passwords/phrases for first-time use and upon reset to a unique value for each user, and change immediately after the first use.","If the same password is used for every new user, an internal user, former employee, or malicious individual may know or easily discover this password, and use it to gain access to accounts. ","8.2.6 Examine password procedures and observe security personnel to verify that first-time passwords for new users, and reset passwords for existing users, are set to a unique value for each user and changed after first use. "
PCI 08.3,"PCI 08.3: Incorporate two-factor authentication for remote network access originating from outside the network by personnel (including users and administrators) and all third parties, (including vendor access for support or maintenance). Note: Two-fact...","Two-factor authentication requires two forms of authentication for higher-risk accesses, such as those originating from outside the network 

This requirement is intended to apply to all personnel—including general users, administrators, and vendors (for support or maintenance) with remote access to the network—where that remote access could lead to access to the cardholder data 
environment. 

If remote access is to an entity’s network that has appropriate segmentation, such that remote users cannot access or impact the cardholder data environment, two-factor authentication for remote access to that network would not be required.  However, two-factor authentication is required for any remote access to networks with access to the cardholder data environment, and is recommended for all remote access to the entity’s networks. ","8.3.a Examine system configurations for remote access servers and systems to verify two-factor authentication is required for: 

. All remote access by personnel 
. All third-party/vendor remote access (including access to applications and system components for support or maintenance purposes).

8.3.b Observe a sample of personnel (for example, users and administrators) connecting remotely to the network and verify that at least two of the three authentication methods are used. "
PCI 08.4,PCI 08.4: Document and communicate authentication procedures and policies to all users including: . Guidance on selecting strong authentication credentials . Guidance for how users should protect their authentication credentials . Instructions not to reu,"Communicating password / authentication procedures to all users helps those users understand and abide by the policies. 

For example, guidance on selecting strong passwords may include suggestions to help personnel select hard-to-guess passwords that don’t contain dictionary words, and that don’t contain information about the user (such as the user ID, names of family members, date of birth, etc.). 
Guidance for protecting authentication credentials 
may include not writing down passwords or saving them in insecure files, and being alert for malicious 
individuals who may attempt to exploit their passwords (for example, by calling an employee and asking for their password so the caller can 
“troubleshoot a problem”). 

Instructing users to change passwords if there is a chance the password is no longer secure can prevent malicious users from using a legitimate password to gain unauthorized access. ","8.4.a Examine procedures and interview personnel to verify that authentication procedures and policies are distributed to all users.

8.4.b Review authentication procedures and policies that are distributed to users and verify they include: 

. Guidance on selecting strong authentication credentials 
. Guidance for how users should protect their authentication credentials. 
. Instructions for users not to reuse previously used passwords 
. Instructions to change passwords if there is any suspicion the password could be compromised. 


8.4.c Interview a sample of users to verify that they are familiar with authentication procedures and policies. 
"
PCI 08.5,"PCI 08.5: Do not use group, shared, or generic IDs, passwords, or other authentication methods as follows: . Generic user IDs are disabled or removed. . Shared user IDs do not exist for system administration and other critical functions. . Shared and g...","If multiple users share the same authentication credentials (for example, user account and password), it becomes impossible to trace system access and activities to an individual. This in turn prevents an entity from assigning accountability for, or having effective logging of, an individual’s actions, since a given action could have been performed by anyone in the group that has knowledge of the authentication credentials. ","8.5 Do not use group, shared, or generic IDs, passwords, or other authentication methods as follows: 

. Generic user IDs are disabled or removed. 
. Shared user IDs do not exist for system administration and other critical functions. 
. Shared and generic user IDs are not used to administer any system components. 

8.5.b Examine authentication policies/procedures to verify that use of group and shared IDs and/or passwords or other authentication methods are explicitly prohibited. 

8.5.c Interview system administrators to verify that group and shared IDs and/or passwords or other authentication methods are not distributed, even if requested. "
PCI 08.5.1,"PCI 08.5.1: Additional requirement for service providers: Service providers with remote access to customer premises (for example, for support of POS systems or servers) must use a unique authentication credential (such as a password/phrase) for each cu...","To prevent the compromise of multiple customers through the use of a single set of credentials, vendors with remote access accounts to customer environments should use a different authentication credential for each customer. 

Technologies, such as two-factor mechanisms, that provide a unique credential for each connection (for 
example, via a single-use password) could also meet the intent of this requirement.",8.5.1 Additional testing procedure for service providers: Examine authentication policies and procedures and interview personnel to verify that different authentication are used for access to each customer.
PCI 08.6,"PCI 08.6: Where other authentication mechanisms are used (for example, physical or logical security tokens, smart cards, certificates, etc.), use of these mechanisms must be assigned as follows: . Authentication mechanisms must be assigned to an indivi...","If user authentication mechanisms such as tokens, smart cards, and certificates can be used by multiple accounts, it may be impossible to identify the individual using the authentication mechanism. Having physical and/or logical controls (for example, a PIN, biometric data, or a password) to uniquely identify the user of the account will prevent unauthorized users from gaining access through use of a shared authentication mechanism.","8.6.a Examine authentication policies and procedures to verify that procedures for using authentication mechanisms such as physical security tokens, smart cards, and certificates are defined and include: 

. Authentication mechanisms are assigned to an individual account and not shared among multiple accounts. 
. Physical and/or logical controls are defined to ensure only the intended account can use that mechanism to gain access. 

8.6.b Interview security personnel to verify authentication mechanisms are assigned to an account and not shared among multiple accounts. 

8.6.c Examine system configuration settings and/or physical controls, as applicable, to verify that controls are implemented to ensure only the intended account can use that mechanism to gain access."
PCI 08.7,"PCI 08.7: All access to any database containing cardholder data (including access by applications, administrators, and all other users) is restricted as follows: . All user access to, user queries of, and user actions on databases are through programma...","Without user authentication for access to databases and applications, the potential for unauthorized or malicious access increases, and such access cannot be logged since the user has not been authenticated and is therefore not known to the system. Also, database access should be granted 
through programmatic methods only (for example, through stored procedures), rather than via direct access to the database by end users (except for DBAs, who may need direct access to the database for their administrative duties). ","8.7.a Review database and application configuration settings and verify that all users are authenticated prior to access. 

8.7.b Examine database and application configuration settings to verify that all user access to, user queries of, and user actions on (for example, move, copy, delete), the database are through 
programmatic methods only (for example, through stored procedures). 

8.7.c Examine database access control settings and database application configuration settings to verify that user direct access to or queries of databases are restricted to database administrators. 

8.7.d Examine database access control settings, database application configuration settings, and the related application IDs to verify that application IDs can only be used by the applications (and not by individual users or other processes)."
PCI 08.8,"PCI 08.8: Ensure that security policies and operational procedures for identification and authentication are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures for managing identification and authorization on a continuous basis.,"8.8 Examine documentation interview personnel to verify that security policies and operational procedures for identification and authentication are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 09,PCI 09: Restrict physical access to cardholder data,,
PCI 09.1,PCI 09.1: Use appropriate facility entry controls to limit and monitor physical access to systems in the cardholder data environment.,"Without physical access controls, such as badge systems and door controls, unauthorized persons could potentially gain access to the facility to steal, disable, disrupt, or destroy critical systems and cardholder data. 

Locking console login screens prevents unauthorized persons from gaining access to sensitive information, altering system 
configurations, introducing vulnerabilities into the network, or destroying records.","9.1 Verify the existence of physical security controls for each computer room, data center, and other physical areas with systems in the cardholder data environment. 

. Verify that access is controlled with badge readers or other devices including authorized badges and lock and key. 
. Observe a system administrator’s attempt to log into consoles for randomly selected systems in the cardholder environment and verify that they are “locked” to prevent unauthorized use. "
PCI 09.1,"PCI 09.10: Ensure that security policies and operational procedures for restricting physical access to cardholder data are documented, in use, and known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures for restricting physical access to cardholder data and CDE systems on a continuous basis. 
","9.10 Examine documentation and interview personnel to verify that security policies and operational procedures for restricting physical access to cardholder data are: 

. Documented, 
. In use, and 
. Known to all affected parties. 
"
PCI 09.1.1,"PCI 09.1.1: Use video cameras and/or access control mechanisms to monitor individual physical access to sensitive areas. Review collected data and correlate with other entries. Store for at least three months, unless otherwise restricted by law. Note: ...","When investigating physical breaches, these controls can help identify the individuals that physically accessed the sensitive areas, as well as when they entered and exited. 

Criminals attempting to gain physical access to sensitive areas will often attempt to disable or bypass the monitoring controls. To protect these controls from tampering, video cameras could be positioned so they are out of reach and/or be monitored to detect tampering. Similarly, access 
control mechanisms could be monitored or have physical protections installed to prevent them being damaged or disabled by malicious individuals. 

Examples of sensitive areas include corporate database server rooms, back-office rooms at retail locations that store cardholder data, and storage areas for large quantities of cardholder data. Sensitive areas should be identified by each 
organization to ensure the appropriate physical monitoring controls are implemented. ","9.1.1.a Verify that video cameras and/or access control mechanisms are in place to monitor the entry/exit points to sensitive areas. 

9.1.1.b Verify that video cameras and/or access control mechanisms are protected from tampering or disabling. 

9.1.1.c Verify that video cameras and/or access control mechanisms are monitored and that data from cameras or other mechanisms is stored for at least three months. "
PCI 09.1.2,"PCI 09.1.2: Implement physical and/or logical controls to restrict access to publicly accessible network jacks. For example, network jacks located in public areas and areas accessible to visitors could be disabled and only enabled when network access i...","Restricting access to network jacks (or network ports) will prevent malicious individuals from plugging into readily available network jacks and gain access into internal network resources. 

Whether logical or physical controls, or a combination of both, are used, they should be sufficient to prevent an individual or device that is not explicitly authorized from being able to connect to the network. ",9.1.2 Interview responsible personnel and observe locations of publicly accessible network jacks to verify that physical and/or logical controls are in place to restrict access to publicly accessible network jacks.
PCI 09.1.3,"PCI 09.1.3: Restrict physical access to wireless access points, gateways, handheld devices, networking/communications hardware, and telecommunication lines.","Without security over access to wireless components and devices, malicious users could use an organization’s unattended wireless devices to access network resources, or even connect their own devices to the wireless network to gain unauthorized access. Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources. ","9.1.3 Verify that physical access to wireless access points, gateways, handheld devices, networking / communications hardware, and telecommunication lines is appropriately restricted. "
PCI 09.2,"PCI 09.2: Develop procedures to easily distinguish between onsite personnel and visitors, to include: . Identifying new onsite personnel or visitors (for example, assigning badges) . Changes to access requirements . Revoking or terminating onsite perso...",Identifying authorized visitors so they are easily distinguished from onsite personnel prevents unauthorized visitors from being granted access to areas containing cardholder data.,"9.2.a Review documented processes to verify that procedures are defined for identifying and distinguishing between onsite personnel and visitors. 

 Verify procedures include the following: 

. Identifying new onsite personnel or visitors (for example, assigning badges), 
. Changing access requirements, and 
. Revoking terminated onsite personnel and expired visitor identification (such as ID badges) 

9.2.b Observe processes for identifying and distinguishing between onsite personnel and visitors to verify that: 

. Visitors are clearly identified, and 
. It is easy to distinguish between onsite personnel and visitors. 

9.2.c Verify that access to the identification process (such as a badge system) is limited to authorized personnel. 

9.2.d Examine identification methods (such as ID badges) in use to verify that they clearly identify visitors and it is easy to distinguish between onsite personnel and visitors."
PCI 09.3,"PCI 09.3: Control physical access for onsite personnel to the sensitive areas as follows: . Access must be authorized and based on individual job function. . Access is revoked immediately upon termination, and all physical access mechanisms, such as ke...","Controlling physical access to the CDE helps ensure that only authorized personnel with a legitimate business need are granted access. 

When personnel leave the organization, all physical access mechanisms should be returned or disabled promptly (as soon as possible) upon their departure, to ensure personnel cannot gain physical access to the CDE once their employment has ended. ","9.3.a For a sample of onsite personnel with physical access to the CDE, interview responsible personnel and observe access control lists to verify that: 

. Access to the CDE is authorized. 
. Access is required for the individual’s job function. 

9.3.b Observe personnel access the CDE to verify that all personnel are authorized before being granted access. 

9.3.c Select a sample of recently terminated employees and review access control lists to verify the personnel do not have physical access to the CDE. 
"
PCI 09.4,PCI 09.4: Implement procedures to identify and authorize visitors. Procedures should include the following:,"Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit. 

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit 
has ended. 

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data. ","9.4 Verify that visitor authorization and access controls are in place as follows: 
"
PCI 09.4.1,"PCI 09.4.1: Visitors are authorized before entering, and escorted at all times within, areas where cardholder data is processed or maintained.",,"9.4.1.a Observe procedures and interview personnel to verify that visitors must be authorized before they are granted access to, and escorted at all times within, areas where cardholder data is processed or maintained. 

9.4.1.b Observe the use of visitor badges or other identification to verify that a physical token badge does not permit unescorted access to physical areas where cardholder data is processed or maintained. "
PCI 09.4.2,PCI 09.4.2: Visitors are identified and given a badge or other identification that expires and that visibly distinguishes the visitors from onsite personnel.,,"9.4.2.a Observe people within the facility to verify the use of visitor badges or other identification, and that visitors are easily distinguishable from onsite personnel. 

9.4.2.b Verify that visitor badges or other identification expire. "
PCI 09.4.3,PCI 09.4.3: Visitors are asked to surrender the badge or identification before leaving the facility or at the date of expiration.,,9.4.3 Observe visitors leaving the facility to verify visitors are asked to surrender their badge or other identification upon departure or expiration.
PCI 09.4.4,"PCI 09.4.4: A visitor log is used to maintain a physical audit trail of visitor activity to the facility as well as computer rooms and data centers where cardholder data is stored or transmitted. Document the visitor’s name, the firm represented, and t...",,"9.4.4.a Verify that a visitor log is in use to record physical access to the facility as well as computer rooms and data centers where cardholder data is stored or transmitted. 

9.4.4.b Verify that the log contains: 

. The visitor’s name, 
. The firm represented, and 
. The onsite personnel authorizing physical access. 

9.4.4.c Verify that the log is retained for at least three months. "
PCI 09.5,PCI 09.5: Physically secure all media.,"Controls for physically securing media are intended to prevent unauthorized persons from gaining access to cardholder data on any type of media. Cardholder data is susceptible to unauthorized viewing, copying, or scanning if it is unprotected while it is on removable or portable media, printed out, or left on someone’s desk.","9.5 Verify that procedures for protecting cardholder data include controls for physically securing all media (including but not limited to computers, removable electronic media, paper receipts, paper 
reports, and faxes). "
PCI 09.5.1,"PCI 09.5.1: Store media backups in a secure location, preferably an off-site facility, such as an alternate or backup site, or a commercial storage facility. Review the location’s security at least annually.","If stored in a non-secured facility, backups that contain cardholder data may easily be lost, stolen, or copied for malicious intent.","9.5.1.a Observe the storage location’s physical security to confirm that backup media storage is secure.

9.5.1.b Verify that the storage location security is reviewed at least annually. 

Periodically reviewing the storage facility enables 
the organization to address identified security 
issues in a timely manner, minimizing the potential 
risk."
PCI 09.6,"PCI 09.6: Maintain strict control over the internal or external distribution of any kind of media, including the following:",Procedures and processes help protect cardholder data on media distributed to internal and/or external users. Without such procedures data can be lost or stolen and used for fraudulent purposes.,"9.6 Verify that a policy exists to control distribution of media, and that the policy covers all distributed media including that distributed to individuals. "
PCI 09.6.1,PCI 09.6.1: Classify media so the sensitivity of the data can be determined.,"It is important that media be identified such that its classification status can be easily discernible. Media not identified as confidential may not be adequately protected or may be lost or stolen. 

Note: This does not mean the media needs to have a “Confidential” label attached; the intent is that the organization has identified media that contains sensitive data so it can protect it. ",9.6.1 Verify that all media is classified so the sensitivity of the data can be determined.
PCI 09.6.2,PCI 09.6.2: Send the media by secured courier or other delivery method that can be accurately tracked.,"Media may be lost or stolen if sent via a non-trackable method such as regular postal mail. Use of secure couriers to deliver any media that contains cardholder data allows organizations to use their tracking systems to maintain inventory 
and location of shipments. ","9.6.2.a Interview personnel and examine records to verify that all media sent outside the facility is logged and sent via secured courier or other delivery method that can be tracked. 

9.6.2.b Select a recent sample of several days of offsite tracking logs for all media, and verify tracking details are documented."
PCI 09.6.3,PCI 09.6.3: Ensure management approves any and all media that is moved from a secured area (including when media is distributed to individuals).,"Without a firm process for ensuring that all media movements are approved before the media is removed from secure areas, the media would not be tracked or appropriately protected, and its location would be unknown, leading to lost or stolen media. 
","9.6.3 Select a recent sample of several days of offsite tracking logs for all media. From examination of the logs and interviews with responsible personnel, verify proper management authorization is obtained whenever media is moved from a secured area (including when media is distributed to individuals). "
PCI 09.7,PCI 09.7: Maintain strict control over the storage and accessibility of media.,"Without careful inventory methods and storage controls, stolen or missing media could go unnoticed for an indefinite amount of time. 

If media is not inventoried, stolen or lost media may not be noticed for a long time or at all.",9.7 Obtain and examine the policy for controlling storage and maintenance of all media and verify that the policy requires periodic media inventories.
PCI 09.7.1,PCI 09.7.1: Properly maintain inventory logs of all media and conduct media inventories at least annually.,,9.7.1 Review media inventory logs to verify that logs are maintained and media inventories are performed at least annually.
PCI 09.8,PCI 09.8: Destroy media when it is no longer needed for business or legal reasons as follows:,"If steps are not taken to destroy information contained on hard disks, portable drives, CD/DVDs, or paper prior to disposal, malicious individuals may be able to retrieve information from the disposed media, leading to a data compromise. 
For example, malicious individuals may use a technique known as “dumpster diving,” where they search through trashcans and recycle bins looking for information they can use to launch an attack. 

Securing storage containers used for materials that are going to be destroyed prevents sensitive information from being captured while the materials are being collected. For example, “to-be-shredded” containers could have a lock preventing access to its contents or physic ally prevent access to the inside of the container. 

Examples of methods for securely destroying electronic media include secure wiping, degaussing, or physical destruction (such as grinding or shredding hard disks). ","9.8 Examine the periodic media destruction policy and verify that it covers all media and defines requirements for the following: 

. Hard-copy materials must be crosscut shredded, incinerated, or pulped such that there is reasonable assurance the hard-copy materials cannot be reconstructed. 

. Storage containers used for materials that are to be destroyed must be secured. 

. Cardholder data on electronic media must be rendered unrecoverable via a secure wipe program (in accordance with industry-accepted standards for secure deletion), or by physically destroying the media. "
PCI 09.8.1,"PCI 09.8.1: Shred, incinerate, or pulp hard-copy materials so that cardholder data cannot be reconstructed. Secure storage containers used for materials that are to be destroyed.",,"9.8.1.a Interview personnel and examine procedures to verify that hard-copy materials are crosscut shredded, incinerated, or pulped such that there is reasonable assurance the hard-copy materials cannot be reconstructed. 

9.8.1.b Examine storage containers used for materials that contain information to be destroyed to verify that the containers are secured. "
PCI 09.8.2,PCI 09.8.2: Render cardholder data on electronic media unrecoverable so that cardholder data cannot be reconstructed.,,"9.8.2 Verify that cardholder data on electronic media is rendered unrecoverable via a secure wipe program in accordance with industry-accepted standards for secure deletion, or otherwise physically destroying the media). "
PCI 09.9,"PCI 09.9: Protect devices that capture payment card data via direct physical interaction with the card from tampering and substitution. Note: These requirements apply to card-reading devices used in card-present transactions (that is, card swipe or dip...","Criminals attempt to steal cardholder data by stealing and/or manipulating card-reading devices and terminals. For example, they will try to steal devices so they can learn how to break into them, and they often try to replace legitimate devices with fraudulent devices that send them payment card information every time a card is entered. Criminals will also try to add “skimming” components to the outside of devices, which are designed to capture payment card details before they even enter the device—for example, by attaching an additional card reader on top of the legitimate card reader so that the payment card details are captured twice: once by the criminal’s component and then by the device’s legitimate component. In this way, transactions may still be completed without interruption while the criminal is “skimming” the payment card information during the process. 

This requirement is recommended, but not required, for manual key-entry components such as computer keyboards and POS keypads. 

Additional best practices on skimming prevention are available on the PCI SSC website. ","9.9 Examine documented policies and procedures to verify they include: 

. Maintaining a list of devices 
. Periodically inspecting devices to look for tampering or substitution 
. Training personnel to be aware of suspicious behavior and to report tampering or substitution of devices. "
PCI 09.9.1,"PCI 09.9.1: Maintain an up-to-date list of devices. The list should include the following: . Make, model of device . Location of device (for example, the address of the site or facility where the device is located) . Device serial number or other metho...","Keeping an up-to-date list of devices helps an organization keep track of where devices are supposed to be, and quickly identify if a device is missing or lost. 

The method for maintaining a list of devices may be automated (for example, a device-management system) or manual (for example, documented in electronic or paper records). For on-the-road devices, the location may include the name of the 
personnel to whom the device is assigned. ","9.9.1.a Examine the list of devices to verify it includes: 

. Make, model of device 
. Location of device (for example, the address of the site or facility where the device is located) 
. Device serial number or other method of unique identification. 

9.9.1.b Select a sample of devices from the list and observe device locations to verify that the list is accurate and up to date. 

9.9.1.c Interview personnel to verify the list of devices is updated when devices are added, relocated, decommissioned, etc. "
PCI 09.9.2,"PCI 09.9.2: Periodically inspect device surfaces to detect tampering (for example, addition of card skimmers to devices), or substitution (for example, by checking the serial number or other device characteristics to verify it has not been swapped with...","Regular inspections of devices will help organizations to more quickly detect tampering or replacement of a device, and thereby minimize the potential impact of using fraudulent devices. 

The type of inspection will depend on the device—for example, photographs of devices that are known to be secure can be used to compare a device’s current appearance with its original appearance to see whether it has changed. Another option may be to use a secure marker pen, such as a UV light marker, to mark device surfaces and device openings so any tampering or replacement will be apparent. Criminals will often replace the outer casing of a device to hide their tampering, and these methods may help to detect such activities. Device vendors may also be able to provide security guidance and “how to” guides to help determine whether the device has been tampered with. 

The frequency of inspections will depend on factors such as location of device and whether the device is attended or unattended. For example, devices left in public areas without supervision by the organization’s personnel may have more frequent inspections than devices that are kept in secure areas or are supervised when they are accessible to the public. The type and frequency of inspections is determined by the merchant, as defined by their annual risk-assessment process. ","9.9.2.a Examine documented procedures to verify processes are defined to include the following: 

. Procedures for inspecting devices 
. Frequency of inspections. 

9.9.2.b Interview responsible personnel and observe inspection processes to verify: 

. Personnel are aware of procedures for inspecting devices. 
. All devices are periodically inspected for evidence of tampering and substitution. "
PCI 09.9.3,"PCI 09.9.3: Provide training for personnel to be aware of attempted tampering or replacement of devices. Training should include the following: . Verify the identity of any third-party persons claiming to be repair or maintenance personnel, prior to gr...","Criminals will often pose as authorized maintenance personnel in order to gain access to POS devices. All third parties requesting access to devices should always be verified before being provided access—for example, by checking with 
management or phoning the POS maintenance company (such as the vendor or acquirer) for verification. Many criminals will try to fool personnel by dressing for the part (for example, carrying toolboxes and dressed in work wear), and could also be knowledgeable about locations of devices, so it’s important personnel are trained to follow procedures at all times. 

Another trick criminals like to use is to send a “new” POS system with instructions for swapping it with a legitimate system and “returning” the legitimate system to a specified address. The criminals may 
even provide return postage as they are very keen to get their hands on these devices. Personnel always verify with their manager or supplier that the device is legitimate and came from a trusted source before installing it or using it for business. ","9.9.3.a Review training materials for personnel at point-of-sale locations to verify they include training in the following: 

. Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices 
. Not to install, replace, or return devices without verification 
. Being aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices) 
. Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer). 

9.9.3.b Interview a sample of personnel at point-of-sale locations to verify they have received training and are aware of the procedures for the following: 

. Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices 
. Not to install, replace, or return devices without verification 
. Being aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices) 
. Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer). 
"
PCI 1.1,PCI 01.1: Establish and implement firewall and router configuration standards that include the following:,"Firewalls and routers are key components of the architecture that controls entry to and exit from the network. These devices are software or hardware devices that block unwanted access and manage authorized access into and out of the network.

Configuration standards and procedures will help to ensure that the organization’s first line of defense in the protection of its data remains strong.",1.1 Inspect the firewall and router configuration standards and other documentation specified below and verify that standards are complete and implemented as follows:
PCI 1.2,PCI 01.2: Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment. Note: An “untrusted network” is any network that is external to the networks belonging,"It is essential to install network protection between the internal, trusted network and any untrusted 
network that is external and/or out of the entity’s ability to control or manage. Failure to implement 
this measure correctly results in the entity being vulnerable to unauthorized access by malicious 
individuals or software. 

For firewall functionality to be effective, it must be properly configured to control and/or limit traffic into and out of the entity’s network.","1.2 Examine firewall and router configurations and perform the 
following to verify that connections are restricted between untrusted networks and system components in the cardholder 
data environment: "
PCI 1.3,PCI 01.3: Prohibit direct public access between the Internet and any system component in the cardholder data environment.,"A firewall's intent is to manage and control all connections between public systems and internal systems, especially those that store, process or 
transmit cardholder data. If direct access is allowed between public systems and the CDE, the
protections offered by the firewall are bypassed, and system components storing cardholder data may be exposed to compromise. ","1.3 Examine firewall and router configurations—including but not limited to the choke router at the Internet, the DMZ router and firewall, the DMZ cardholder segment, the perimeter router, 
and the internal cardholder network segment—and perform the following to determine that there is no direct access between the Internet and system components in the internal cardholder 
network segment: "
PCI 1.4,"PCI 01.4: Install personal firewall software on any mobile and/or employee-owned devices that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the network. Firewall configuration","Portable computing devices that are allowed to connect to the Internet from outside the corporate 
firewall are more vulnerable to Internet-based threats. Use of a personal firewall helps to protect 
devices from Internet-based attacks, which could use the device to gain access the organization’s 
systems and data once the device is re-connected to the network. 

The specific firewall configuration settings are determined by the organization. 

Note: The intent of this requirement applies to employee-owned and company-owned computers. Systems that cannot be managed by 
corporate policy introduce weaknesses to the perimeter and provide opportunities that malicious 
individuals may exploit. Allowing untrusted systems to connect to an organization’s network could result in access being granted to attackers and other malicious users. ","1.4.a Examine policies and configuration standards to verify: 

. Personal firewall software is required for all mobile and/or employee-owned devices that connect to the Internet (for 
example, laptops used by employees) when outside the network, and which are also used to access the network. 
. Specific configuration settings are defined for personal firewall software. 
. Personal firewall software is configured to actively run. 
. Personal firewall software is configured to not be alterable by users of mobile and/or employee-owned devices. 

1.4.b Inspect a sample of mobile and/or employee-owned devices to verify that: 

. Personal firewall software is installed and configured per the organization’s specific configuration settings. 
. Personal firewall software is actively running. 
. Personal firewall software is not alterable by users of mobile and/or employee-owned devices. "
PCI 1.5,"PCI 01.5: Ensure that security policies and operational procedures for managing firewalls are documented, in use, and known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures to 
ensure firewalls and routers are continuously managed to prevent unauthorized access to the 
network. ","1.5 Examine documentation and interview personnel to verify that security policies and operational procedures for managing 
firewalls are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 10,PCI 10: Track and monitor all access to network resources and cardholder data,,
PCI 10.1,PCI 10.1: Implement audit trails to link all access to system components to each individual user.,It is critical to have a process or system that links user access to system components accessed. This system generates audit logs and provides the ability to trace back suspicious activity to a specific user.,"10.1 Verify, through observation and interviewing the system administrator, that: 

. Audit trails are enabled and active for system components. 
. Access to system components is linked to individual users. "
PCI 10.2,PCI 10.2: Implement automated audit trails for all system components to reconstruct the following events:,"Generating audit trails of suspect activities alerts the system administrator, sends data to other monitoring mechanisms (like intrusion detection systems), and provides a history trail for post-incident follow-up. Logging of the following events enables an organization to identify and trace potentially malicious activities ","10.2 Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings, perform the following: "
